Alignment_name	Locus_type
SISRS_contig-6357000012.fasta	unannotated
SISRS_contig-11017000006.fasta	unannotated
SISRS_contig-12578000007.fasta	unannotated
SISRS_contig-17090000004.fasta	unannotated
SISRS_contig-10749000002.fasta	unannotated
SISRS_contig-13093000001.fasta	unannotated
SISRS_contig-13588000003.fasta	unannotated
SISRS_contig-17275000011.fasta	unannotated
SISRS_contig-11844000008.fasta	unannotated
SISRS_contig-13940000004.fasta	unannotated
SISRS_contig-8606000013.fasta	unannotated
SISRS_contig-3129000015.fasta	unannotated
SISRS_contig-14929000005.fasta	unannotated
SISRS_contig-15830000016.fasta	unannotated
SISRS_contig-12036000019.fasta	unannotated
SISRS_contig-17939000010.fasta	unannotated
SISRS_contig-8656000007.fasta	unannotated
SISRS_contig-8738000008.fasta	unannotated
SISRS_contig-4325000008.fasta	unannotated
SISRS_contig-4621000004.fasta	unannotated
SISRS_contig-11976000001.fasta	unannotated
SISRS_contig-2360000018.fasta	unannotated
SISRS_contig-5531000017.fasta	unannotated
SISRS_contig-10721000016.fasta	unannotated
SISRS_contig-16419000006.fasta	unannotated
SISRS_contig-9129000003.fasta	unannotated
SISRS_contig-12483000002.fasta	unannotated
SISRS_contig-1518000005.fasta	unannotated
SISRS_contig-7525000001.fasta	unannotated
SISRS_contig-7740000018.fasta	unannotated
SISRS_contig-13528000010.fasta	unannotated
SISRS_contig-6164000012.fasta	unannotated
SISRS_contig-14097000013.fasta	unannotated
SISRS_contig-13660000001.fasta	unannotated
SISRS_contig-11480000015.fasta	unannotated
SISRS_contig-8605000000.fasta	unannotated
SISRS_contig-951000019.fasta	unannotated
SISRS_contig-6553000015.fasta	unannotated
SISRS_contig-9823000014.fasta	unannotated
SISRS_contig-14077000000.fasta	unannotated
SISRS_contig-12205000017.fasta	unannotated
SISRS_contig-4570000011.fasta	unannotated
SISRS_contig-10238000000.fasta	unannotated
SISRS_contig-15233000016.fasta	unannotated
SISRS_contig-2965000009.fasta	unannotated
SISRS_contig-13987000003.fasta	unannotated
SISRS_contig-935000015.fasta	unannotated
SISRS_contig-9323000003.fasta	unannotated
SISRS_contig-3500000000.fasta	unannotated
SISRS_contig-14399000007.fasta	unannotated
SISRS_contig-1088000011.fasta	unannotated
SISRS_contig-11864000014.fasta	unannotated
SISRS_contig-10752000015.fasta	unannotated
SISRS_contig-4742000008.fasta	unannotated
SISRS_contig-6772000009.fasta	unannotated
SISRS_contig-10976000007.fasta	unannotated
SISRS_contig-16494000011.fasta	unannotated
SISRS_contig-2784000005.fasta	unannotated
SISRS_contig-11458000006.fasta	unannotated
SISRS_contig-11414000014.fasta	unannotated
SISRS_contig-11095000001.fasta	unannotated
SISRS_contig-5631000011.fasta	unannotated
SISRS_contig-10900000015.fasta	unannotated
SISRS_contig-9143000013.fasta	unannotated
SISRS_contig-1507000012.fasta	unannotated
SISRS_contig-13215000007.fasta	unannotated
SISRS_contig-7855000005.fasta	unannotated
SISRS_contig-4099000013.fasta	unannotated
SISRS_contig-14187000003.fasta	unannotated
SISRS_contig-15697000011.fasta	unannotated
SISRS_contig-12584000010.fasta	unannotated
SISRS_contig-5353000007.fasta	unannotated
SISRS_contig-7632000016.fasta	unannotated
SISRS_contig-11614000019.fasta	unannotated
SISRS_contig-3786000001.fasta	unannotated
SISRS_contig-3287000017.fasta	unannotated
SISRS_contig-703000002.fasta	unannotated
SISRS_contig-2024000017.fasta	unannotated
SISRS_contig-15500000017.fasta	unannotated
SISRS_contig-449000009.fasta	unannotated
SISRS_contig-16248000011.fasta	unannotated
SISRS_contig-14609000002.fasta	unannotated
SISRS_contig-4468000008.fasta	unannotated
SISRS_contig-7143000007.fasta	unannotated
SISRS_contig-11768000011.fasta	unannotated
SISRS_contig-11960000002.fasta	unannotated
SISRS_contig-13060000001.fasta	unannotated
SISRS_contig-12447000010.fasta	unannotated
SISRS_contig-5540000012.fasta	unannotated
