Alignment_name	Locus_type
SISRS_contig-14665000007.fasta	UTR
SISRS_contig-2957000014.fasta	UTR
SISRS_contig-13059000006.fasta	UTR
SISRS_contig-7462000003.fasta	UTR
SISRS_contig-14385000019.fasta	UTR
SISRS_contig-12511000003.fasta	UTR
SISRS_contig-15828000002.fasta	UTR
SISRS_contig-17603000010.fasta	UTR
SISRS_contig-11058000005.fasta	UTR
SISRS_contig-3308000007.fasta	UTR
SISRS_contig-13781000017.fasta	UTR
SISRS_contig-11031000017.fasta	UTR
SISRS_contig-5472000003.fasta	UTR
SISRS_contig-9116000001.fasta	UTR
SISRS_contig-12551000006.fasta	UTR
SISRS_contig-14983000011.fasta	UTR
SISRS_contig-14702000010.fasta	UTR
SISRS_contig-2166000005.fasta	UTR
SISRS_contig-14872000000.fasta	UTR
SISRS_contig-11593000006.fasta	UTR
SISRS_contig-10766000007.fasta	UTR
SISRS_contig-13885000013.fasta	UTR
SISRS_contig-13819000004.fasta	UTR
SISRS_contig-17491000005.fasta	UTR
SISRS_contig-287000013.fasta	UTR
SISRS_contig-619000010.fasta	UTR
SISRS_contig-9206000002.fasta	UTR
SISRS_contig-1862000001.fasta	UTR
SISRS_contig-2918000019.fasta	UTR
SISRS_contig-11053000012.fasta	UTR
SISRS_contig-7921000003.fasta	UTR
SISRS_contig-12126000012.fasta	UTR
SISRS_contig-14339000017.fasta	UTR
SISRS_contig-8366000008.fasta	UTR
SISRS_contig-345000000.fasta	UTR
SISRS_contig-410000014.fasta	UTR
SISRS_contig-5073000013.fasta	UTR
SISRS_contig-12681000007.fasta	UTR
SISRS_contig-11068000014.fasta	UTR
SISRS_contig-765000000.fasta	UTR
SISRS_contig-11851000008.fasta	UTR
SISRS_contig-13880000011.fasta	UTR
SISRS_contig-13625000007.fasta	UTR
SISRS_contig-3469000006.fasta	UTR
SISRS_contig-15913000002.fasta	UTR
SISRS_contig-2462000019.fasta	UTR
SISRS_contig-15415000017.fasta	UTR
SISRS_contig-1475000011.fasta	UTR
SISRS_contig-1009000007.fasta	UTR
SISRS_contig-13514000018.fasta	UTR
SISRS_contig-9279000001.fasta	UTR
SISRS_contig-10667000011.fasta	UTR
SISRS_contig-8392000003.fasta	UTR
SISRS_contig-11778000007.fasta	UTR
SISRS_contig-8926000000.fasta	UTR
SISRS_contig-5339000016.fasta	UTR
SISRS_contig-10071000008.fasta	UTR
SISRS_contig-3948000000.fasta	UTR
SISRS_contig-16534000002.fasta	UTR
SISRS_contig-2624000003.fasta	UTR
SISRS_contig-9910000005.fasta	UTR
SISRS_contig-11338000003.fasta	UTR
SISRS_contig-16944000001.fasta	UTR
SISRS_contig-5017000006.fasta	UTR
SISRS_contig-3349000011.fasta	UTR
SISRS_contig-1611000004.fasta	UTR
SISRS_contig-5513000012.fasta	UTR
SISRS_contig-10860000002.fasta	UTR
SISRS_contig-962000004.fasta	UTR
SISRS_contig-10046000004.fasta	UTR
SISRS_contig-7884000005.fasta	UTR
SISRS_contig-745000011.fasta	UTR
SISRS_contig-3505000016.fasta	UTR
SISRS_contig-6654000003.fasta	UTR
SISRS_contig-2619000019.fasta	UTR
SISRS_contig-5727000014.fasta	UTR
SISRS_contig-12379000004.fasta	UTR
SISRS_contig-13504000017.fasta	UTR
SISRS_contig-12699000017.fasta	UTR
SISRS_contig-10210000000.fasta	UTR
SISRS_contig-4493000019.fasta	UTR
SISRS_contig-4306000010.fasta	UTR
SISRS_contig-2480000015.fasta	UTR
SISRS_contig-2565000011.fasta	UTR
SISRS_contig-2919000006.fasta	UTR
SISRS_contig-15950000012.fasta	UTR
SISRS_contig-14897000017.fasta	UTR
SISRS_contig-18070000000.fasta	UTR
SISRS_contig-5053000010.fasta	UTR
SISRS_contig-4799000002.fasta	UTR
SISRS_contig-2756000015.fasta	UTR
SISRS_contig-7938000017.fasta	UTR
SISRS_contig-11965000004.fasta	UTR
SISRS_contig-16961000015.fasta	UTR
SISRS_contig-13837000005.fasta	UTR
SISRS_contig-11424000012.fasta	UTR
SISRS_contig-5548000017.fasta	UTR
SISRS_contig-15879000018.fasta	UTR
SISRS_contig-5925000014.fasta	UTR
SISRS_contig-9891000004.fasta	UTR
SISRS_contig-869000007.fasta	UTR
SISRS_contig-5302000013.fasta	UTR
SISRS_contig-443000014.fasta	UTR
SISRS_contig-15668000000.fasta	UTR
SISRS_contig-10226000016.fasta	UTR
SISRS_contig-1376000008.fasta	UTR
SISRS_contig-1913000000.fasta	UTR
SISRS_contig-705000011.fasta	UTR
SISRS_contig-13953000010.fasta	UTR
SISRS_contig-506000005.fasta	UTR
SISRS_contig-11493000011.fasta	UTR
SISRS_contig-1452000006.fasta	UTR
SISRS_contig-10827000015.fasta	UTR
SISRS_contig-2943000006.fasta	UTR
SISRS_contig-14157000006.fasta	UTR
SISRS_contig-13274000019.fasta	UTR
SISRS_contig-10491000002.fasta	UTR
SISRS_contig-4892000001.fasta	UTR
SISRS_contig-10069000009.fasta	UTR
SISRS_contig-3677000012.fasta	UTR
SISRS_contig-6461000000.fasta	UTR
SISRS_contig-9683000006.fasta	UTR
SISRS_contig-7802000000.fasta	UTR
SISRS_contig-3322000004.fasta	UTR
SISRS_contig-8824000019.fasta	UTR
SISRS_contig-5210000011.fasta	UTR
SISRS_contig-7290000012.fasta	UTR
SISRS_contig-606000016.fasta	UTR
SISRS_contig-5449000009.fasta	UTR
SISRS_contig-5535000004.fasta	UTR
SISRS_contig-7421000018.fasta	UTR
SISRS_contig-12712000016.fasta	UTR
SISRS_contig-10671000001.fasta	UTR
SISRS_contig-5782000010.fasta	UTR
SISRS_contig-10269000005.fasta	UTR
SISRS_contig-943000000.fasta	UTR
SISRS_contig-11880000003.fasta	UTR
SISRS_contig-11119000005.fasta	UTR
SISRS_contig-7864000004.fasta	UTR
SISRS_contig-3939000003.fasta	UTR
SISRS_contig-1562000013.fasta	UTR
SISRS_contig-9807000017.fasta	UTR
SISRS_contig-6035000006.fasta	UTR
SISRS_contig-655000000.fasta	UTR
SISRS_contig-3315000005.fasta	UTR
SISRS_contig-13218000004.fasta	UTR
SISRS_contig-13468000000.fasta	UTR
SISRS_contig-10346000004.fasta	UTR
SISRS_contig-13030000012.fasta	UTR
SISRS_contig-2065000009.fasta	UTR
SISRS_contig-9069000001.fasta	UTR
SISRS_contig-5963000004.fasta	UTR
SISRS_contig-4280000015.fasta	UTR
SISRS_contig-9547000008.fasta	UTR
SISRS_contig-13718000001.fasta	UTR
SISRS_contig-8673000017.fasta	UTR
SISRS_contig-10657000008.fasta	UTR
SISRS_contig-3149000018.fasta	UTR
SISRS_contig-13543000016.fasta	UTR
SISRS_contig-7933000008.fasta	UTR
SISRS_contig-14357000010.fasta	UTR
SISRS_contig-1155000008.fasta	UTR
SISRS_contig-14761000013.fasta	UTR
SISRS_contig-1453000008.fasta	UTR
SISRS_contig-13057000017.fasta	UTR
SISRS_contig-1344000015.fasta	UTR
SISRS_contig-8604000015.fasta	UTR
SISRS_contig-4871000012.fasta	UTR
SISRS_contig-8448000017.fasta	UTR
SISRS_contig-1313000002.fasta	UTR
SISRS_contig-10946000016.fasta	UTR
SISRS_contig-7867000003.fasta	UTR
SISRS_contig-12743000003.fasta	UTR
SISRS_contig-729000001.fasta	UTR
SISRS_contig-8028000018.fasta	UTR
SISRS_contig-8581000012.fasta	UTR
SISRS_contig-11724000004.fasta	UTR
SISRS_contig-10710000017.fasta	UTR
SISRS_contig-1418000006.fasta	UTR
SISRS_contig-9283000010.fasta	UTR
SISRS_contig-3066000013.fasta	UTR
